,Image Filename,label,score,count,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
0,000005.jpg,"['chair', 'diningtable', 'chair', 'diningtable', 'chair', 'chair', 'chair']","[0.16701287, 0.20053883, 0.16192283, 0.21952112, 0.35723934, 0.16529498, 0.24968599, 0.54033613, 0.42002785, 0.10884277, 0.18093216, 0.1113679, 0.1060199, 0.18348551, 0.10264352, 0.3746258, 0.108624026, 0.10766007, 0.10555395, 0.1494662]",7,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0
1,000007.jpg,['car'],"[0.10076486, 0.6549133]",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,000009.jpg,"['human', 'car', 'car', 'horse', 'human', 'car', 'human']","[0.12085657, 0.33570912, 0.117616616, 0.23805276, 0.28891826, 0.704959, 0.23942891, 0.21957976, 0.11436778, 0.20963721, 0.14907622, 0.15481174, 0.11385872, 0.11669079, 0.10141237, 0.11451962, 0.10233326, 0.116363585, 0.11169922]",7,0,0,0,0,0,0,3,0,0,0,0,0,1,0,3,0,0,0,0,0
3,000012.jpg,['car'],[0.3558307],1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,000016.jpg,"['boat', 'bicycle']","[0.108564995, 0.13764113, 0.30822316, 0.12708566, 0.14100619, 0.13653757, 0.16435312, 0.73864764, 0.10875512]",2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,000017.jpg,"['human', 'horse']","[0.34381193, 0.13991086, 0.78323406, 0.10391508, 0.12919268, 0.16317782, 0.101797596, 0.11779008]",2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
6,000019.jpg,"['bottle', 'cat', 'cat']","[0.2258187, 0.67478275, 0.6731848, 0.16982147]",3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
7,000020.jpg,[],[0.13834181],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,000021.jpg,['dog'],"[0.10783592, 0.12003109, 0.19974722, 0.2880186, 0.12332581]",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,000023.jpg,"['human', 'human', 'human', 'bicycle', 'bicycle', 'bicycle']","[0.22233646, 0.34351772, 0.2712193, 0.10324158, 0.12951407, 0.10926829, 0.45275033, 0.12260855, 0.36062735, 0.62285817]",6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
10,000024.jpg,"['train', 'bicycle', 'bicycle', 'bird', 'train']","[0.11331683, 0.15491669, 0.13973026, 0.18727925, 0.6468256, 0.21737736, 0.17653573, 0.1376364, 0.14938925, 0.1315044, 0.16570358, 0.206727, 0.19661957, 0.1443505, 0.10401496, 0.11071821, 0.122853704, 0.109233856, 0.15814467, 0.22165294, 0.15342383, 0.1532294, 0.25737858, 0.15943572, 0.12617685, 0.10143588]",5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
11,000026.jpg,[],[0.1554615],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,000030.jpg,"['human', 'human', 'bottle', 'bicycle']","[0.101063564, 0.13627279, 0.3439094, 0.31158775, 0.16445301, 0.17042641, 0.41775337, 0.111399725, 0.6591524, 0.142606, 0.13154857, 0.10457376]",4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
13,000032.jpg,"['aeroplane', 'bus', 'car', 'car', 'aeroplane', 'car', 'human', 'human', 'bicycle']","[0.2862271, 0.22099124, 0.10247538, 0.18304703, 0.30273226, 0.25509346, 0.598162, 0.29456142, 0.14774819, 0.13603579, 0.29609007, 0.13730817, 0.35501942, 0.22890872, 0.11878424, 0.11930131]",9,2,1,0,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0
14,000033.jpg,"['aeroplane', 'aeroplane', 'aeroplane', 'tvmonitor']","[0.11059177, 0.60620177, 0.11609908, 0.13459173, 0.24562286, 0.25504246, 0.13341951, 0.100808024, 0.14621985, 0.11926765, 0.21285994, 0.19050758]",4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,000034.jpg,"['car', 'car', 'train']","[0.1092895, 0.10320347, 0.2119789, 0.15348285, 0.12965928, 0.1259044, 0.19015414, 0.1117633, 0.14165646, 0.23582421, 0.1285552, 0.10220834, 0.13939351, 0.14194302, 0.1466355, 0.11056324, 0.6624235, 0.14317408]",3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
16,000035.jpg,[],[0.12541205],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,000036.jpg,['dog'],"[0.12520339, 0.82210714]",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,000039.jpg,"['tvmonitor', 'tvmonitor', 'chair']","[0.13486753, 0.21619956, 0.43934014, 0.14323743, 0.12841919, 0.13272679, 0.23055224, 0.19167876, 0.1455071, 0.18370253]",3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
19,000041.jpg,"['tvmonitor', 'tvmonitor', 'human', 'tvmonitor', 'human', 'boat', 'bottle', 'bottle']","[0.26650837, 0.51788545, 0.15643288, 0.10763401, 0.12716188, 0.3301467, 0.247049, 0.18541199, 0.3150702, 0.112181336, 0.12046386, 0.16827784, 0.17008239, 0.10270722, 0.16641547, 0.2942842, 0.19662265, 0.26125312, 0.2071472, 0.17373097, 0.11599382, 0.12873642, 0.11603546, 0.10443706, 0.17252204, 0.18624634, 0.15566535]",8,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3
20,000042.jpg,"['train', 'train', 'train']","[0.10813476, 0.4496969, 0.18394189, 0.16586162, 0.40960607, 0.33087584, 0.10452476]",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
21,000044.jpg,"['chair', 'cat', 'chair']","[0.117652275, 0.14566776, 0.23640169, 0.10152116, 0.114375405, 0.716094, 0.1728393, 0.100917295, 0.12059911, 0.49749562, 0.16095863, 0.11161269, 0.10974227, 0.11939965]",3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
