,Image Filename,Labels,count,count_diff_class,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
0,2008_006376.jpg,"['bird', 'bird']",2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2008_007850.jpg,"['horse', 'horse']",2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2,2008_000364.jpg,"['person', 'person']",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
3,2008_007103.jpg,"['car', 'bicycle', 'person']",3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
4,2009_002012.jpg,['dog'],1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,2009_001066.jpg,['dog'],1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,2008_002118.jpg,['car'],1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2009_003855.jpg,"['horse', 'person', 'horse']",3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
8,2010_003509.jpg,['cat'],1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,2009_001449.jpg,['dog'],1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,2010_003856.jpg,"['person', 'person', 'motorbike']",3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
11,2008_004506.jpg,"['tvmonitor', 'tvmonitor', 'tvmonitor', 'tvmonitor', 'chair', 'bottle', 'person', 'person', 'tvmonitor']",9,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,5
12,2008_003151.jpg,"['motorbike', 'person']",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
13,2008_001133.jpg,"['sofa', 'sofa', 'chair', 'chair', 'chair', 'chair', 'chair', 'pottedplant']",8,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,2,0,0
14,2010_000159.jpg,"['dog', 'dog']",2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
15,2010_005161.jpg,['cat'],1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,2008_006844.jpg,"['dog', 'person', 'car', 'car', 'car', 'car', 'car']",7,3,0,0,0,0,0,0,5,0,0,0,0,1,0,0,1,0,0,0,0,0
17,2011_002034.jpg,['cat'],1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,2009_000322.jpg,['person'],1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
